x	y
75	130
543	184
586	223
327	481
391	807
413	348
973	332
402	832
236	26
195	526
843	692
774	307
441	687
87	486
747	156
8	325
367	36
853	144
702	875
223	182
96	256
299	158
66	572
352	985
7	103
341	121
777	532
537	326
530	55
301	148
243	519
50	405
899	822
753	543
599	427
514	713
704	207
27	795
143	686
375	884
204	133
19	60
151	777
347	329
583	1000
951	131
361	196
248	717
328	433
974	565
76	206
741	389
368	511
430	869
29	58
182	365
264	23
939	11
866	815
200	866
865	292
257	874
754	824
319	221
70	843
363	623
563	427
902	997
798	800
263	533
44	407
133	193
297	745
921	961
595	188
460	181
928	385
681	645
6	261
333	124
479	202
253	934
919	706
173	587
18	49
393	410
617	195
453	269
481	505
848	330
518	686
900	394
625	56
729	825
940	170
281	520
836	706
296	281
428	433
461	616
544	685
78	178
864	950
869	112
378	752
264	127
633	328
1000	703
926	5
646	91
44	453
393	710
279	824
662	14
288	480
745	588
824	318
968	98
15	336
782	274
214	478
323	918
184	842
427	247
125	27
569	80
868	396
210	892
999	474
443	732
440	967
544	140
282	821
715	936
356	415
824	479
297	554
500	769
145	444
146	841
81	652
277	506
175	903
279	936
622	325
971	263
857	563
131	889
267	878
493	726
870	718
745	1000
868	174
646	633
740	691
614	480
499	837
61	75
386	37
44	102
456	819
297	111
256	484
416	812
70	677
899	373
636	72
762	981
936	910
362	680
578	67
123	825
740	292
411	297
297	449
893	253
892	388
539	703
973	746
847	148
703	167
26	338
867	367
772	660
436	485
45	191
653	396
397	443
313	816
253	995
250	909
489	531
608	654
377	330
749	409
251	454
809	200
710	224
472	383
620	15
264	444
379	840
541	894
781	647
393	349
858	293
41	323
584	588
19	899
521	249
842	626
898	550
709	13
988	947
101	914
185	260
994	100
185	249
240	98
613	435
722	133
30	361
743	246
251	657
337	422
725	105
947	937
471	415
850	625
664	307
666	145
379	818
594	149
564	459
229	18
49	300
640	710
814	380
30	92
912	194
143	497
409	83
990	209
276	909
988	89
29	849
704	70
216	314
773	821
845	842
202	701
523	287
80	351
611	725
803	736
424	934
594	241
753	579
548	853
317	444
471	906
283	725
117	451
908	754
518	598
464	304
430	90
299	854
60	860
425	268
166	752
999	696
637	864
525	137
897	716
933	906
674	313
193	22
524	193
44	569
114	330
938	899
13	851
724	826
813	566
855	976
371	767
676	821
731	639
844	480
57	677
329	745
470	8
42	840
45	388
16	782
16	943
318	667
148	488
885	928
385	188
341	730
362	753
236	100
280	218
585	79
650	637
974	352
515	605
734	646
131	24
762	671
834	559
542	308
683	751
797	646
949	227
726	228
735	938
285	305
82	460
839	567
835	516
286	377
915	365
444	72
330	979
888	843
543	606
447	347
977	151
627	138
217	392
391	809
576	838
704	714
329	296
489	369
412	169
988	266
502	265
304	778
17	55
408	239
672	792
231	517
197	536
123	713
218	815
544	79
