x	y
290	99
88	165
896	973
839	359
970	527
271	944
780	153
167	985
322	572
976	653
330	662
770	952
394	662
874	760
789	543
239	895
812	955
572	641
740	437
870	179
227	278
373	638
543	984
227	6
349	393
203	478
594	62
44	214
11	261
79	460
635	496
441	749
861	739
426	955
677	145
348	522
449	432
359	249
32	758
399	765
113	591
518	945
276	654
689	0
610	851
340	427
631	225
648	429
179	9
107	473
923	261
433	383
852	391
930	548
328	356
771	839
223	933
186	168
687	458
802	404
194	255
411	938
671	270
350	138
798	434
144	830
453	649
456	777
972	591
457	911
76	631
486	482
750	344
590	868
369	843
610	803
323	296
218	273
183	457
340	342
120	356
246	4
468	881
611	848
956	11
411	79
825	277
876	795
68	246
936	923
329	565
220	704
389	964
109	216
442	184
197	366
98	998
306	455
407	675
483	154
827	657
211	22
25	772
921	753
390	986
558	500
363	515
363	393
78	676
286	131
377	840
566	843
929	543
780	280
710	814
441	11
825	487
349	981
247	385
474	447
404	89
434	836
717	30
96	995
874	599
472	837
504	144
586	160
155	665
729	981
948	640
928	665
526	371
513	412
189	312
116	783
10	404
411	715
748	156
701	274
824	849
441	343
933	790
658	497
46	817
822	357
343	765
447	258
396	99
386	140
677	25
432	2
143	149
6	958
352	722
54	490
957	561
649	409
749	668
107	392
319	404
921	729
469	996
635	344
785	54
661	603
180	255
960	504
298	463
308	361
212	91
274	231
620	484
201	881
650	959
285	346
637	805
465	216
584	820
454	123
730	76
707	800
552	903
964	851
759	677
85	439
504	415
839	897
106	679
390	814
689	921
352	938
619	1
104	757
115	938
192	758
963	153
909	504
58	49
995	514
193	418
21	515
527	856
93	7
590	306
610	813
40	684
374	635
773	510
378	398
875	838
318	613
466	260
51	349
320	343
61	165
698	139
185	34
932	572
659	177
91	608
910	472
321	385
947	73
322	861
394	831
735	349
679	979
102	59
462	87
625	122
685	753
623	203
809	735
832	471
909	135
370	583
639	804
193	384
791	924
116	38
566	74
853	212
793	133
121	281
540	219
206	271
868	390
360	61
591	614
224	524
658	710
813	498
214	712
612	517
683	650
731	337
643	212
59	987
184	829
73	303
477	624
201	647
670	233
473	381
773	947
64	993
291	904
774	97
810	235
656	367
440	881
6	877
150	702
498	374
901	293
971	667
959	635
169	517
934	696
213	539
354	984
350	806
331	716
151	145
616	380
638	609
415	29
178	334
158	818
794	619
566	469
174	323
541	448
955	848
205	620
134	142
813	629
160	832
218	709
112	146
276	581
64	114
92	472
741	278
100	10
780	907
262	457
801	148
324	263
250	203
570	453
654	471
692	432
239	550
455	990
101	322
694	785
545	494
169	844
536	155
870	634
808	312
961	101
718	755
856	445
755	952
779	543
208	137
324	516
936	995
128	449
144	864
818	646
793	583
947	360
37	704
64	628
430	509
430	659
423	227
886	350
845	534
778	439
833	78
958	632
430	584
42	52
1000	167
603	856
565	464
222	385
862	399
408	663
96	442
930	866
346	408
326	274
496	600
397	122
543	533
238	107
195	603
70	714
684	631
731	854
801	148
881	497
165	445
821	716
976	781
272	602
682	36
644	139
530	193
643	78
741	64
679	565
301	251
777	874
312	712
60	153
147	79
873	373
990	527
526	983
324	944
838	754
205	954
341	474
422	59
400	965
129	646
313	933
333	568
587	271
752	566
677	499
175	344
907	463
707	664
946	307
528	194
59	902
947	383
285	372
399	110
407	455
686	411
138	836
868	811
858	954
257	941
889	4
524	915
990	857
871	153
889	166
338	603
799	30
650	925
424	580
890	217
556	452
431	919
295	663
412	449
521	929
80	432
446	847
869	82
852	271
365	283
550	269
821	35
128	893
635	125
549	21
600	390
480	46
991	804
14	588
931	130
36	546
552	916
49	807
632	320
638	907
425	379
177	662
924	471
230	813
840	454
971	671
948	54
705	611
612	401
469	325
388	554
23	122
662	434
996	652
551	608
890	804
327	359
920	214
747	16
4	109
519	761
78	269
456	773
565	447
913	386
885	340
364	551
552	444
388	824
112	127
224	912
838	14
808	902
500	240
503	440
316	496
453	226
294	931
159	109
397	380
472	930
376	76
731	274
242	237
855	285
903	851
640	267
526	41
321	989
260	447
829	972
121	958
