x	y
904	174
699	879
166	11
727	596
662	92
582	145
262	645
212	391
731	271
913	558
384	578
153	931
724	271
183	771
326	473
232	434
171	277
898	922
132	730
949	778
706	508
508	418
64	723
140	971
985	839
600	115
507	72
353	208
605	561
792	864
244	476
634	80
675	800
595	809
511	960
585	501
895	652
39	4
710	439
263	954
244	592
876	97
73	105
278	276
829	738
442	59
357	367
971	52
470	902
457	506
253	246
83	842
588	253
139	595
910	719
706	773
368	78
921	451
865	671
358	265
85	98
915	516
394	957
163	195
530	91
889	624
536	887
651	261
565	81
146	581
958	341
838	16
741	409
558	930
702	202
251	36
534	867
131	272
90	46
969	68
159	979
600	18
247	695
499	812
872	70
625	627
320	14
320	627
533	687
424	142
305	78
530	212
499	798
9	441
178	855
813	945
908	965
472	781
564	399
729	912
855	990
235	801
242	32
482	111
491	575
610	499
188	495
712	420
515	255
287	108
905	907
547	711
398	651
847	292
867	153
623	742
675	149
303	73
362	582
834	801
575	992
11	6
987	353
956	204
715	444
612	15
491	319
653	882
897	907
893	144
361	415
829	186
338	184
399	231
693	928
139	629
313	365
842	617
507	692
29	223
284	466
636	818
933	147
758	394
687	111
386	586
952	3
476	900
77	177
878	302
512	186
258	220
714	686
913	101
810	152
682	39
459	334
685	871
396	405
438	717
851	513
71	973
53	404
700	652
629	72
367	335
644	307
711	571
318	801
461	408
873	476
320	310
733	582
606	987
184	815
687	866
334	643
55	21
184	234
32	561
51	716
50	330
286	145
747	747
819	76
258	727
245	734
249	855
316	643
140	30
703	328
236	778
644	656
532	271
441	301
941	242
444	20
923	601
420	900
219	105
614	601
418	356
199	50
380	751
901	106
99	994
398	507
560	320
527	391
829	951
821	200
705	76
852	381
336	318
432	109
724	622
159	925
191	531
141	822
455	694
487	747
650	572
677	192
612	856
448	698
505	372
678	838
87	671
488	976
13	478
23	578
275	442
27	52
566	331
255	817
388	119
794	39
633	360
645	605
557	183
119	728
387	57
855	496
315	230
996	497
766	848
203	191
645	469
3	212
336	500
48	705
273	164
671	367
382	92
274	619
828	579
370	597
153	945
222	355
853	403
232	458
481	197
665	168
191	381
457	132
425	106
195	550
397	7
761	274
94	212
890	543
401	968
41	624
808	666
668	278
711	21
365	593
640	961
517	92
133	418
649	264
149	954
760	645
248	416
756	230
252	141
636	980
849	439
55	796
489	340
515	563
513	452
920	66
311	362
672	303
638	458
806	107
377	688
870	150
626	202
769	132
315	958
982	435
677	85
509	687
117	681
434	145
877	543
444	731
8	683
453	51
445	223
610	476
877	835
1000	405
376	925
958	233
678	618
253	514
780	725
212	134
713	518
206	114
436	202
679	248
305	676
659	63
537	849
3	865
601	702
514	87
600	844
723	536
207	626
481	638
713	478
49	794
297	308
827	999
628	254
228	650
272	184
874	79
468	295
351	623
435	954
321	918
674	199
226	269
439	437
333	616
32	499
537	563
498	207
266	604
307	498
487	111
221	230
878	238
508	870
368	712
253	144
908	101
746	695
359	687
965	188
58	949
555	307
773	582
644	102
343	892
60	977
605	211
89	597
387	448
406	370
856	249
109	438
946	384
503	474
518	533
414	872
882	4
687	390
354	866
418	879
744	18
429	841
536	272
67	372
72	638
177	311
633	286
693	101
317	916
564	948
88	693
274	360
24	310
399	295
418	376
939	16
819	915
219	960
45	475
461	630
913	671
760	520
70	815
782	174
697	812
94	609
706	658
326	592
847	284
884	383
368	509
643	274
60	425
121	87
200	105
29	155
479	866
26	434
438	544
604	950
969	833
781	378
595	469
182	51
189	435
281	130
249	352
574	201
490	464
19	924
142	86
749	755
322	932
173	534
410	774
632	783
720	126
523	204
651	186
868	342
1000	52
634	348
34	462
269	599
829	963
718	135
524	578
692	597
338	376
590	857
459	616
846	787
542	367
678	1
914	318
12	752
221	160
253	494
995	633
916	610
572	86
685	987
76	137
601	263
145	484
257	16
875	231
70	700
555	3
875	263
83	948
386	664
905	237
626	568
982	573
241	406
244	422
464	130
636	548
364	626
915	108
333	236
239	415
813	102
827	849
404	566
299	643
128	598
385	349
92	460
200	244
197	522
191	981
18	277
660	733
778	804
977	249
873	697
116	407
150	967
579	0
86	286
304	304
812	825
39	372
923	82
393	61
840	928
90	301
410	221
59	144
199	325
876	454
182	338
861	744
611	971
103	813
302	365
362	556
834	384
423	804
460	721
892	870
439	245
542	217
662	979
178	654
122	732
753	413
658	601
221	511
62	234
845	277
905	579
600	884
259	799
837	422
637	584
265	522
11	962
577	726
670	296
878	832
308	564
276	133
43	142
647	241
380	121
177	935
693	398
507	285
614	780
777	843
80	871
605	530
508	583
867	264
838	296
188	603
19	468
459	40
806	655
719	875
854	817
172	300
15	777
307	457
388	771
442	161
5	836
263	810
639	822
231	446
771	745
629	779
354	843
43	863
579	766
644	628
270	30
831	570
888	906
954	513
540	187
830	489
291	921
587	663
510	176
505	699
708	433
718	364
173	328
720	677
672	867
97	769
594	7
549	674
563	707
989	240
721	674
246	535
120	701
555	105
955	893
889	952
255	135
72	567
748	903
256	725
121	115
912	274
163	403
733	440
370	592
157	416
366	20
752	139
286	416
885	634
587	389
465	458
123	535
380	515
192	748
698	213
694	476
751	746
301	194
768	524
889	265
146	435
895	914
985	98
864	305
542	747
258	492
197	974
151	235
478	506
600	521
544	698
110	721
351	473
73	826
965	707
200	101
522	731
279	161
783	568
348	413
163	810
708	982
12	642
630	425
874	550
882	394
567	419
719	340
118	832
550	413
495	889
887	930
782	894
92	879
10	388
460	170
277	343
454	464
245	948
242	886
444	660
489	971
38	476
958	393
432	461
743	629
19	798
537	967
32	636
536	47
848	882
127	516
370	39
297	348
568	776
367	135
275	303
525	575
328	220
771	945
268	406
311	421
396	201
767	595
363	282
388	894
807	464
711	174
871	955
602	756
476	172
769	535
376	239
334	156
369	314
891	114
533	265
758	223
295	366
771	714
613	300
24	983
372	302
887	371
28	237
832	82
310	789
224	999
127	572
796	2
666	994
321	173
713	666
582	265
527	802
445	440
916	780
248	604
910	885
968	490
813	407
279	455
491	295
965	130
481	73
978	985
255	380
921	405
476	459
423	688
379	326
698	374
166	821
36	340
467	174
289	229
738	302
659	176
629	139
389	816
67	722
223	11
811	820
447	43
981	974
322	235
815	263
787	755
264	547
483	945
301	559
740	185
695	286
676	730
934	933
540	77
44	5
532	903
85	478
511	21
129	401
605	837
845	394
608	595
335	77
770	561
443	777
37	901
572	844
57	275
503	456
155	408
594	711
84	547
243	607
349	982
997	587
317	639
492	856
569	442
607	200
593	945
816	187
544	570
376	307
316	347
648	575
292	152
444	349
1	521
669	589
878	291
801	46
4	158
915	304
324	675
793	215
448	742
553	876
77	717
892	507
810	243
692	727
950	878
816	648
257	37
602	254
544	473
501	163
170	222
569	331
951	593
73	205
410	786
863	854
438	810
628	875
48	155
218	547
929	401
836	372
924	280
586	849
879	527
132	76
831	998
838	230
949	331
965	275
23	603
697	270
332	867
835	540
402	794
375	88
991	368
380	850
885	134
314	863
120	53
947	371
120	334
894	638
31	200
919	78
632	115
727	837
16	786
110	503
1000	867
93	332
242	745
231	846
642	916
38	370
484	609
517	547
223	507
280	55
186	79
875	70
1000	864
758	644
773	96
525	374
744	215
748	890
145	303
124	622
113	489
218	620
587	647
861	906
860	644
549	131
884	583
210	886
582	294
661	36
112	127
740	594
908	289
846	781
312	121
508	662
918	664
600	469
772	220
642	662
559	121
669	862
477	210
545	763
808	966
430	177
908	277
177	18
779	318
791	621
220	715
389	465
448	440
943	84
778	378
610	926
507	527
564	582
221	987
680	114
472	603
830	830
740	167
664	161
719	118
817	947
730	524
602	904
902	195
473	878
850	649
360	252
927	397
763	993
795	955
