x	y
385	585
74	953
138	929
779	576
431	507
478	556
728	219
265	755
698	685
259	508
366	110
602	237
131	738
803	14
598	659
737	930
598	132
645	916
586	962
755	222
115	477
532	764
849	329
611	919
557	199
662	809
508	281
976	331
78	242
627	298
556	0
181	1
350	76
857	560
718	367
656	797
885	319
852	275
902	737
347	766
107	269
801	329
5	579
919	22
337	11
316	579
616	436
696	886
645	798
109	74
814	992
1	422
951	184
406	140
506	569
374	683
942	692
591	822
639	412
127	720
137	444
240	669
764	521
683	504
292	486
592	808
920	801
955	185
193	440
554	920
237	542
281	321
152	199
531	700
742	691
740	687
239	840
15	760
137	899
110	640
663	790
487	965
631	688
575	77
622	329
917	288
914	628
619	727
908	704
864	702
73	993
34	161
587	249
284	204
612	927
202	751
625	286
422	249
701	526
509	93
779	377
409	366
431	427
441	338
345	147
727	485
600	91
240	408
37	706
786	200
735	364
848	420
64	564
570	217
959	592
493	544
746	125
535	480
985	860
680	605
930	476
725	667
674	74
212	313
283	823
575	742
333	464
446	657
330	468
19	311
512	965
563	345
524	161
815	271
208	763
302	828
145	145
105	808
837	872
641	498
147	150
324	69
345	150
195	109
707	270
378	454
533	310
339	168
466	389
321	948
963	707
429	803
242	244
972	912
971	220
325	826
449	797
7	110
249	34
528	760
519	195
460	749
361	240
893	92
40	798
530	79
907	953
240	510
999	958
716	137
202	153
268	488
581	262
278	982
247	137
477	246
271	325
861	690
241	134
110	294
74	556
197	970
255	554
510	251
43	251
