x	y
771	34
97	167
376	291
537	128
591	127
758	365
519	69
102	223
893	346
11	475
678	405
531	566
887	506
396	354
803	139
846	998
818	899
713	87
552	269
630	263
664	49
591	207
865	982
752	478
252	296
485	169
510	293
449	2
485	524
373	485
319	157
640	896
715	764
971	131
746	463
767	466
219	612
194	788
512	133
233	769
60	503
709	13
128	812
388	689
237	297
71	819
390	543
136	235
909	583
956	518
64	373
504	49
246	154
631	330
214	803
803	451
159	93
587	112
397	550
979	827
10	988
847	839
144	314
95	693
357	874
544	309
523	255
120	98
285	581
307	9
953	28
645	761
124	917
620	227
743	30
630	93
366	124
463	361
944	407
623	755
853	318
849	820
560	270
228	149
186	507
803	177
77	6
719	176
401	924
284	255
476	742
681	732
439	143
360	870
57	753
530	588
771	601
948	608
900	285
742	17
239	733
982	105
94	420
580	529
579	713
322	573
243	709
291	281
916	305
890	341
459	936
361	164
799	660
832	157
387	865
151	596
798	367
198	330
315	676
572	990
497	470
590	715
745	521
197	550
600	370
360	866
397	822
469	25
336	525
160	473
14	496
136	301
15	291
812	488
492	182
743	326
256	329
165	345
29	667
242	270
95	360
226	236
627	79
231	465
769	117
445	76
798	967
320	920
476	56
515	375
925	239
348	391
309	603
720	485
726	998
89	593
120	584
138	897
838	579
947	246
293	326
348	757
363	821
291	465
428	298
678	70
530	332
419	778
280	984
279	645
193	722
656	949
53	334
861	757
174	910
798	259
97	665
2	233
397	72
221	714
361	734
215	50
293	658
244	716
544	622
364	81
485	243
939	439
50	878
480	403
87	212
417	712
278	425
458	808
268	515
546	256
878	159
227	794
169	239
440	322
386	53
231	296
159	730
56	709
94	713
442	707
366	146
715	313
483	739
982	676
653	559
542	929
179	600
351	804
538	192
198	826
129	881
656	973
952	31
637	660
310	918
50	740
41	494
540	700
213	26
393	735
941	953
579	930
86	518
321	499
209	302
671	476
429	240
267	288
8	689
20	758
936	446
921	823
985	266
406	815
824	326
811	909
966	759
169	677
438	973
887	422
256	807
22	794
968	992
799	178
364	545
200	722
788	22
797	861
23	304
350	98
781	706
884	284
831	464
236	570
2	305
810	123
89	888
301	230
651	243
301	368
368	552
838	215
641	986
584	640
557	240
665	543
902	182
389	766
151	598
500	991
953	750
285	321
152	705
512	159
429	551
345	394
938	228
400	892
714	47
