x	y
763	274
568	186
637	191
372	928
533	196
411	645
66	851
298	23
55	333
699	940
157	968
207	77
291	92
853	256
935	600
467	345
593	57
818	782
637	87
776	6
162	944
318	773
510	821
385	735
28	179
144	911
493	745
679	775
273	370
578	596
50	808
384	908
704	640
545	569
942	197
614	65
91	590
655	363
604	947
928	450
917	21
452	297
354	591
659	605
129	913
696	662
472	477
227	37
282	704
707	633
660	237
452	326
560	576
584	939
199	634
658	440
904	886
134	233
717	495
794	831
524	257
798	179
466	620
41	859
486	943
964	360
704	614
894	972
18	871
193	647
894	408
836	498
461	612
478	774
18	284
199	314
591	630
335	871
274	601
653	809
61	184
438	35
40	222
878	595
592	125
496	282
650	835
803	900
25	668
819	915
766	429
980	918
648	43
489	678
959	127
927	580
224	65
917	264
151	580
323	171
